100
115,62,7
66,3,14
78,27,2
170,183,10
61,171,4
194,160,14
83,183,8
101,164,3
83,7,3
126,11,16
34,123,14
105,84,11
126,48,14
134,149,5
76,64,15
121,74,5
160,145,5
29,99,8
192,16,17
108,37,1
174,2,16
164,91,6
191,182,17
18,186,2
20,59,14
193,174,3
129,56,13
30,104,12
48,93,16
174,171,11
27,186,4
100,6,8
120,48,7
49,39,4
154,90,2
76,100,14
96,135,18
17,31,8
184,158,19
79,195,9
139,197,15
86,65,13
140,17,6
127,121,7
114,141,17
37,107,15
98,12,16
159,41,9
97,125,12
10,34,14
72,174,14
135,28,11
32,174,3
70,13,11
71,82,1
52,95,8
49,13,6
175,69,17
49,1,12
175,127,12
57,184,5
62,179,18
81,11,18
175,74,7
32,12,15
87,7,14
77,27,17
93,59,5
197,75,18
1,23,10
128,184,11
3,123,5
62,76,2
46,71,11
7,196,2
187,82,16
108,120,2
195,92,9
162,167,2
0,160,7
148,185,6
191,36,15
12,150,8
109,15,10
28,90,19
66,124,12
138,48,1
143,35,10
78,194,5
64,184,12
21,199,11
107,130,9
107,33,6
162,77,6
92,159,6
104,35,15
4,157,4
9,113,14
195,188,7
13,53,12
